Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),Primary energy (PJ),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year)
1988,27393.0,Japan,JPN,123585000,Japan,JPN,4837.037,17956.323199579376,17413.3332,3370225763881.6777,18607.18781118128,57264696.882528886
1989,28601.0,Japan,JPN,124059000,Japan,JPN,5003.157999999999,18281.498793214316,18011.3688,3471052884457.89,19002.97698724523,56642796.03220064
1990,29949.0,Japan,JPN,124505000,Japan,JPN,5168.5470000000005,18606.674386849256,18606.769200000002,3571880005034.103,19396.414514545148,56020895.1818724
1991,30837.43,Japan,JPN,124930000,Japan,JPN,5295.965,18931.849980484196,19065.474000000002,3672707125610.316,19639.684150075147,55398994.33154415
1992,30977.81,Japan,JPN,125331000,Japan,JPN,5361.678000000001,19257.025574119132,19302.040800000002,3773534246186.529,19695.493739808953,54777093.48121591
1993,30920.66,Japan,JPN,125707000,Japan,JPN,5437.0740000000005,19582.201167754072,19573.4664,3874361366762.741,19703.70671123503,54155192.630887665
1994,31135.43,Japan,JPN,126053000,Japan,JPN,5646.8009999999995,19907.376761389012,20328.4836,3975188487338.954,19772.158421656586,53533291.78055942
1995,31887.28,Japan,JPN,126365000,Japan,JPN,5868.479,20232.552355024058,21126.524400000002,4057624595848.0117,19952.294649377804,52911390.93023118
1996,32784.16,Japan,JPN,126644000,Japan,JPN,5980.0509999999995,20557.727948658994,21528.1836,4091843166329.1416,20145.48973717685,52289490.07990309
1997,33038.29,Japan,JPN,126893000,Japan,JPN,6090.235,20882.903542293934,21924.845999999998,4126061736810.2573,20205.21255856929,51667589.229574844
1998,32558.19,Japan,JPN,127117000,Japan,JPN,5956.57,21208.079135928874,21443.652,4160280307291.373,20125.52763322527,51045688.3792466
1999,32394.52,Japan,JPN,127326000,Japan,JPN,6061.602,21533.254729563814,21821.7672,4194498877772.489,20104.099112588505,50423787.528918356
2000,33210.81,Japan,JPN,127524000,Japan,JPN,6128.8640000000005,21843.173370154134,22063.9104,4228717448253.6045,20266.40744425957,49801886.67859011
2001,33246.39,Japan,JPN,127714000,Japan,JPN,6069.191,21858.52617443734,21849.0876,4262936018734.72,20281.56487768579,49179985.82826187
2002,33195.4,Japan,JPN,127893000,Japan,JPN,6051.151,21873.878978720535,21784.1436,4297154589215.836,20280.772111289265,48558084.97793362
2003,33619.95,Japan,JPN,128058000,Japan,JPN,6027.271,21889.231783003735,21698.1756,4331373159696.9517,20361.913374475425,47936184.12760538
2004,34313.56,Japan,JPN,128204000,Japan,JPN,6099.329000000001,21904.584587286932,21957.584400000003,4365591730178.0674,20480.87162128677,47314283.27727713
2005,34857.76,Japan,JPN,128326000,Japan,JPN,6207.568,21919.846689585876,22347.2448,4399810300659.184,20567.76799760325,46692382.42694888
2006,35333.11,Japan,JPN,128423000,Japan,JPN,6189.139,21665.202670653456,22280.900400000002,4434028871140.313,20638.541382424934,46070481.57662064
2007,35892.71,Japan,JPN,128494000,Japan,JPN,6126.677,21410.558651721036,22056.0372,4468247441621.429,20714.78780090107,45448580.726292394
2008,35496.23,Japan,JPN,128539000,Japan,JPN,6042.366999999999,21155.91463278851,21752.5212,4502466012102.545,20664.876207116376,44826679.87596415
2009,33590.01,Japan,JPN,128555000,Japan,JPN,5509.297,20901.27061385609,19833.4692,4536684582583.66,20378.809393447747,44204779.025635906
2010,35011.4,Japan,JPN,128542000,Japan,JPN,5869.964,20646.62659492367,21131.8704,4570903153064.776,20598.2794353928,43582878.175307654
2011,34979.0,Japan,JPN,128499000,Japan,JPN,5572.723000000001,20391.98257599125,20061.802800000005,4605121723545.893,20592.005031547735,42960977.32497941
2012,35580.0,Japan,JPN,128424000,Japan,JPN,5534.108,20137.33855705883,19922.788800000002,4639340294027.008,20671.778010019236,42339076.474651165
2013,36354.0,Japan,JPN,128314000,Japan,JPN,5485.276999999999,19882.694538126303,19746.997199999998,4673558864508.124,20765.32387965609,41717175.62432292
2014,36537.0,Japan,JPN,128169000,Japan,JPN,5344.6359999999995,19628.050519193883,19240.689599999998,4707777434989.239,20782.090449448235,41095274.77399468
2015,37031.0,Japan,JPN,127985000,Japan,JPN,5268.915,19373.406500261462,18968.094,4741996005470.369,20832.057667514986,40473373.923666425
2016,37465.0,Japan,JPN,127763000,Japan,JPN,5179.9529999999995,19118.762481329042,18647.8308,4776214575951.485,20871.383193293575,39851473.07333818
2017,38414.86,Japan,JPN,127503000,Japan,JPN,5247.4259999999995,18864.11846239652,18890.7336,4810433146432.601,20955.528867405894,39229572.2230101
2018,38673.81,Japan,JPN,127202000,Japan,JPN,5233.465999999999,18609.4744434641,18840.4776,4844651716913.717,20970.32804029061,38607671.372681856
